city;lat;lng;country;iso3
Sasso Marconi;44.4;11.25;Italy;ITA
Danilov;58.1833;40.1667;Russia;RUS
Masallı;39.0342;48.6656;Azerbaijan;AZE
Entre Rios de Minas;-20.6708;-44.0658;Brazil;BRA
Ijra;26.3119;86.0037;India;IND
Eshowe;-28.8883;31.4483;South Africa;ZAF
Friedland;51.4217;9.9144;Germany;DEU
Banbridge;54.349;-6.27;United Kingdom;GBR
Cocorná;6.0569;-75.1853;Colombia;COL
Havre de Grace;39.548;-76.1146;United States;USA
Punata;-17.55;-65.8333;Bolivia;BOL
Dennis;41.7064;-70.1644;United States;USA
Driouch;34.9833;-3.3833;Morocco;MAR
San Juan del Sur;11.25;-85.8667;Nicaragua;NIC
Törökbálint;47.4367;18.9122;Hungary;HUN
Garhpura;25.6638;86.1818;India;IND
Lilburn;33.8897;-84.1364;United States;USA
Larkhall;55.737;-3.972;United Kingdom;GBR
Mount Vernon;38.314;-88.9174;United States;USA
Mississippi Mills;45.2167;-76.2;Canada;CAN
Ramsey;41.0595;-74.1454;United States;USA
Youdiou;14.2833;-3.1667;Mali;MLI
Vaddāpalli;18.5323;77.8959;India;IND
Tepetzintla;21.1658;-97.8511;Mexico;MEX
Breukelen;52.1717;5.0017;Netherlands;NLD
Sukhinichi;54.1;35.35;Russia;RUS
Bodmin;50.466;-4.718;United Kingdom;GBR
Andūrkonam;8.5969;76.8664;India;IND
Belokurikha;51.9833;84.9833;Russia;RUS
Çiçekdağı;39.6069;34.4086;Turkey;TUR
Pilar;-31.6833;-63.9;Argentina;ARG
Labiod Medjadja;36.25;1.4;Algeria;DZA
Sakhā;31.089;30.951;Egypt;EGY
Río Negro;-40.7833;-73.2;Chile;CHL
Hammonton;39.6572;-74.7678;United States;USA
Pindaí;-14.4833;-42.6833;Brazil;BRA
Chaabat el Leham;35.3361;-1.1011;Algeria;DZA
Pallasovka;50.05;46.8833;Russia;RUS
Joubb Jannîne;33.6333;35.7833;Lebanon;LBN
Pine;40.6437;-80.0315;United States;USA
Rellingen;53.65;9.8167;Germany;DEU
Roseau;15.3014;-61.3883;Dominica;DMA
Great Bend;38.3593;-98.8015;United States;USA
Loreto;26.0128;-111.3433;Mexico;MEX
Conwy;53.28;-3.83;United Kingdom;GBR
Neqāb;36.7072;57.4194;Iran;IRN
Matsushige;34.1339;134.5803;Japan;JPN
Arzgir;45.3694;44.2281;Russia;RUS
Greendale;42.9371;-88.0018;United States;USA
Isla Vista;34.4128;-119.8614;United States;USA
Muy Muy;12.7667;-85.6333;Nicaragua;NIC
Bāladharmāram;17.4104;79.969;India;IND
San Ġwann;35.9094;14.4786;Malta;MLT
Katyr-Yurt;43.1686;45.3681;Russia;RUS
Prestwick;55.4956;-4.6142;United Kingdom;GBR
Tsivilsk;55.8667;47.4833;Russia;RUS
Alagoinha;-12.3333;-42.1167;Brazil;BRA
Douar Oulad Driss;31.9039;-8.3024;Morocco;MAR
Oulad Driss;31.9996;-8.2276;Morocco;MAR
Riofrío;4.1561;-76.2878;Colombia;COL
Neustadt an der Donau;48.8;11.7667;Germany;DEU
Sāhit;25.5888;85.7948;India;IND
Antioch;42.4742;-88.0721;United States;USA
Cēsis;57.3167;25.2667;Latvia;LVA
Mediouna;33.45;-7.51;Morocco;MAR
Troon;55.54;-4.66;United Kingdom;GBR
Chhāpia;26.0831;84.8447;India;IND
Androrangavola;-21.5;47.7167;Madagascar;MDG
Tarumirim;-19.2808;-42.0069;Brazil;BRA
Paola;39.3667;16.0333;Italy;ITA
San Ramón;-11.1247;-75.3569;Peru;PER
Uch-Korgon;40.23;72.06;Kyrgyzstan;KGZ
Ochakiv;46.6186;31.5392;Ukraine;UKR
Triunfo;-7.8378;-38.1019;Brazil;BRA
Purísima de la Concepción;9.2333;-75.7333;Colombia;COL
Plérin;48.5353;-2.7694;France;FRA
Shimubi;19.1645;110.3043;China;CHN
Santa Croce sull’ Arno;43.7167;10.7833;Italy;ITA
Cuarte de Huerva;41.5833;-0.9167;Spain;ESP
Hima;0.2906;30.1775;Uganda;UGA
Tirumalaiyampālaiyam;10.879;76.9295;India;IND
Hooksett;43.0709;-71.4365;United States;USA
